# fwhFoam: pressure time history
# nTimes=100  nFaces=160
# time	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54	f55	f56	f57	f58	f59	f60	f61	f62	f63	f64	f65	f66	f67	f68	f69	f70	f71	f72	f73	f74	f75	f76	f77	f78	f79	f80	f81	f82	f83	f84	f85	f86	f87	f88	f89	f90	f91	f92	f93	f94	f95	f96	f97	f98	f99	f100	f101	f102	f103	f104	f105	f106	f107	f108	f109	f110	f111	f112	f113	f114	f115	f116	f117	f118	f119	f120	f121	f122	f123	f124	f125	f126	f127	f128	f129	f130	f131	f132	f133	f134	f135	f136	f137	f138	f139	f140	f141	f142	f143	f144	f145	f146	f147	f148	f149	f150	f151	f152	f153	f154	f155	f156	f157	f158	f159
0.1	-5.3985734e-05	-0.00010613251	-0.000158307	-0.00021001906	-0.00026107984	-0.00031126189	-0.00036031702	-0.00040797285	-0.00045400907	-0.00049815979	-0.00054023409	-0.00057997767	-0.00061725317	-0.0006518248	-0.00068362091	-0.00071241958	-0.00073820795	-0.00076078113	-0.00078016469	-0.00079616853	-0.00080884344	-0.00081805401	-0.00082388852	-0.000826295	-0.00082539682	-0.00082121808	-0.00081390091	-0.00080352265	-0.00079024347	-0.00077418282	-0.00075552098	-0.00073441265	-0.00071105981	-0.00068564595	-0.000658389	-0.00062951172	-0.00059923487	-0.00056777794	-0.00053535494	-0.00050237764	-0.00046890685	-0.00043509536	-0.00040154777	-0.00036829442	-0.00033561538	-0.00030373236	-0.00027287332	-0.00024324204	-0.00021505382	-0.00018848729	-0.00016371992	-0.00014092307	-0.00012024635	-0.0001018305	-8.580069e-05	-7.2265668e-05	-6.1317161e-05	-5.30297e-05	-4.7460228e-05	-4.4661327e-05	-4.462704e-05	-4.7359245e-05	-5.2865831e-05	-6.10981e-05	-7.1999594e-05	-8.5499309e-05	-0.00010150433	-0.00011990829	-0.00014058272	-0.00016338957	-0.00018816944	-0.00021475509	-0.00024296297	-0.00027259949	-0.0003034529	-0.00033533022	-0.00036799172	-0.00040122593	-0.00043458532	-0.00046846064	-5.4787526e-05	-0.00010702318	-0.0001592409	-0.00021113983	-0.00026235226	-0.00031262235	-0.00036168163	-0.00040929396	-0.00045522231	-0.00049923769	-0.00054112396	-0.00058068802	-0.00061774365	-0.00065212625	-0.00068368518	-0.00071228417	-0.00073780778	-0.00076016182	-0.00077927133	-0.00079507627	-0.00080753668	-0.00081663263	-0.00082236634	-0.0008247613	-0.0008238646	-0.00081974242	-0.00081248061	-0.00080218374	-0.00078897539	-0.00077299688	-0.0007544049	-0.0007333706	-0.00071008259	-0.00068473404	-0.00065753124	-0.00062870333	-0.00059847096	-0.00056711989	-0.0005346286	-0.00050174915	-1.8661517e-06	5.002454e-05	0.00010093668	0.00015102205	0.00019982798	0.00024710684	0.00029255678	0.00033593571	0.00037697568	0.00041544046	0.00045110321	0.00048375786	0.00051321649	0.00053930687	0.00056188713	0.00058082256	0.00059601902	0.0006073843	0.00061487531	0.00061845426	0.00061810734	0.00061383686	0.00060571203	0.0005937719	0.00057810628	0.00055880368	0.00053598567	0.000509773	0.00048031364	0.00044775588	0.00041227571	0.00037405715	0.00033330451	0.00029024943	0.0002451196	0.00019817214	0.00014965361	9.9837587e-05	4.8991709e-05	-2.7165794e-06
0.2	-0.00011816141	-0.00016599739	-0.00021366739	-0.00026081002	-0.00030719089	-0.00035253619	-0.00039663456	-0.00043920998	-0.00048010534	-0.00051905352	-0.00055593978	-0.00059050772	-0.00062268222	-0.00065222631	-0.00067911057	-0.00070312034	-0.00072425889	-0.00074232932	-0.00075735209	-0.00076915776	-0.00077779482	-0.00078314959	-0.00078532363	-0.00078427185	-0.00078014731	-0.00077295684	-0.00076288711	-0.00074997938	-0.00073444417	-0.000716353	-0.00069593536	-0.00067329542	-0.00064867551	-0.00062221252	-0.00059415621	-0.0005646814	-0.00053403784	-0.00050243087	-0.00047008213	-0.00043731792	-0.00040422977	-0.00037105065	-0.00033819454	-0.00030567684	-0.00027381666	-0.0002427863	-0.00021281261	-0.00018408042	-0.00015678597	-0.00013109755	-0.00010718236	-8.5188156e-05	-6.5258886e-05	-4.7518428e-05	-3.2084583e-05	-1.9055311e-05	-8.517907e-06	-5.4096785e-07	4.8208301e-06	7.5273466e-06	7.5657921e-06	4.9330294e-06	-3.599981e-07	-8.2788949e-06	-1.8769682e-05	-3.1767945e-05	-4.7185242e-05	-6.4925199e-05	-8.4866706e-05	-0.0001068849	-0.00013082972	-0.00015655126	-0.00018387529	-0.00021262669	-0.00024261409	-0.00027364822	-0.00030551205	-0.00033802044	-0.00037085507	-0.00040406364	-0.00011988773	-0.00016772599	-0.00021535223	-0.00026246428	-0.00030882518	-0.00035416788	-0.00039825083	-0.0004408336	-0.00048169327	-0.00052061548	-0.0005574058	-0.00059188205	-0.00062388339	-0.00065326092	-0.00067989028	-0.00070365511	-0.00072446347	-0.00074223171	-0.00075690222	-0.00076842718	-0.00077678632	-0.00078197067	-0.0007840007	-0.00078290801	-0.00077875421	-0.00077161054	-0.00076157676	-0.0007487607	-0.00073329456	-0.00071531728	-0.00069498674	-0.0006724674	-0.0006479411	-0.0006215914	-0.00059362164	-0.00056424192	-0.00053366	-0.00050214397	-0.00046978308	-0.00043705529	-7.0336191e-05	-2.2770971e-05	2.4134726e-05	7.0248667e-05	0.00011525091	0.00015889241	0.00020090663	0.00024104439	0.00027906782	0.0003147438	0.00034786606	0.00037823152	0.0004056682	0.00043000636	0.00045111212	0.00046885308	0.00048313605	0.00049386944	0.000501003	0.00050449145	0.00050432317	0.00050049594	0.00049304641	0.00048201503	0.00046747207	0.00044950423	0.00042821682	0.00040373621	0.00037620142	0.00034577389	0.00031262777	0.00027695621	0.00023896671	0.00019888132	0.00015692995	0.00011335685	6.8407353e-05	2.2344194e-05	-2.4567599e-05	-7.2096059e-05
0.3	-0.00014145387	-0.00018722949	-0.00023273594	-0.00027766566	-0.00032176869	-0.00036478863	-0.00040649993	-0.00044665315	-0.00048506652	-0.00052150778	-0.00055583527	-0.00058784111	-0.00061742396	-0.00064440528	-0.00066872147	-0.00069022534	-0.00070888316	-0.00072457768	-0.00073729556	-0.00074695355	-0.00075356754	-0.00075710025	-0.00075761422	-0.00075512193	-0.00074973328	-0.00074150105	-0.00073056984	-0.00071702203	-0.00070102741	-0.00068269187	-0.00066220708	-0.00063969908	-0.00061537938	-0.00058939113	-0.00056196209	-0.00053325633	-0.00050350628	-0.00047290191	-0.0004416468	-0.00041002769	-0.00037815425	-0.00034624895	-0.00031464285	-0.00028338935	-0.00025277279	-0.00022295327	-0.00019413905	-0.00016650711	-0.00014024169	-0.00011551064	-9.2477045e-05	-7.1286874e-05	-5.2080532e-05	-3.4980267e-05	-2.0100517e-05	-7.5379925e-06	2.622131e-06	1.0312071e-05	1.5478273e-05	1.8083585e-05	1.8111498e-05	1.5559801e-05	1.0443402e-05	2.7955131e-06	-7.3309922e-06	-1.9870932e-05	-3.4738315e-05	-5.1837045e-05	-7.1050406e-05	-9.225509e-05	-0.00011530736	-0.00014006051	-0.00016634848	-0.00019400241	-0.00022284215	-0.00025268349	-0.0002833252	-0.00031459019	-0.0003462118	-0.00037814903	-0.00014285538	-0.00018857778	-0.00023400146	-0.0002788451	-0.0003228719	-0.00036582617	-0.00040747403	-0.00044758665	-0.00048595074	-0.00052236318	-0.00055663831	-0.00058860437	-0.00061811069	-0.0006450194	-0.00066921519	-0.00069059538	-0.00070908072	-0.00072460474	-0.00073712463	-0.00074661092	-0.00075305828	-0.000756475	-0.00075689399	-0.00075436114	-0.00074894645	-0.00074073137	-0.00072981921	-0.00071632288	-0.00070037324	-0.00068210961	-0.00066168474	-0.00063925935	-0.00061500584	-0.00058909987	-0.00056173186	-0.00053309667	-0.00050338684	-0.00047284536	-0.0004415824	-0.00040997144	-9.5633942e-05	-5.0036238e-05	-4.9810732e-06	3.9328091e-05	8.261126e-05	0.00012461633	0.0001650949	0.00020379808	0.00024049963	0.00027496831	0.00030700323	0.00033640196	0.00036299386	0.0003866096	0.00040711352	0.00042437375	0.00043829301	0.00044878042	0.00045577974	0.00045924479	0.0004591593	0.00045552125	0.00044835745	0.00043771026	0.00042364402	0.00040624671	0.00038562021	0.00036189476	0.0003352077	0.0003057269	0.00027362536	0.00023910118	0.0002023622	0.00016362823	0.00012313465	8.1116524e-05	3.7829367e-05	-6.4780986e-06	-5.1532406e-05	-9.709751e-05
0.4	-0.00014933578	-0.0001936411	-0.00023762087	-0.00028099349	-0.0003235323	-0.0003649894	-0.000405136	-0.00044374262	-0.00048059596	-0.00051549539	-0.00054826118	-0.00057872703	-0.00060675734	-0.00063221879	-0.00065502057	-0.00067505747	-0.00069227431	-0.00070658901	-0.00071797913	-0.00072639126	-0.00073185239	-0.00073434613	-0.0007339636	-0.00073071943	-0.00072476154	-0.00071612061	-0.00070498536	-0.00069139276	-0.00067556348	-0.00065753568	-0.00063756041	-0.00061567293	-0.00059215634	-0.00056704172	-0.00054064823	-0.0005130182	-0.00048450462	-0.0004551776	-0.00042536632	-0.00039524862	-0.00036501705	-0.0003348458	-0.00030502251	-0.00027560053	-0.00024681294	-0.00021878286	-0.00019168871	-0.0001656801	-0.00014092452	-0.00011757519	-9.579144e-05	-7.5714319e-05	-5.7486641e-05	-4.1230522e-05	-2.7064623e-05	-1.5087158e-05	-5.3877553e-06	1.9638039e-06	6.910528e-06	9.4144992e-06	9.4559995e-06	7.0322416e-06	2.1600761e-06	-5.1276231e-06	-1.4775662e-05	-2.6717928e-05	-4.0864928e-05	-5.7120399e-05	-7.5364511e-05	-9.5476029e-05	-0.00011731039	-0.00014072727	-0.00016556421	-0.00019166596	-0.00021886235	-0.0002469904	-0.00027586918	-0.00030534781	-0.00033520041	-0.00036536559	-0.00015129915	-0.00019565933	-0.00023965128	-0.0002830103	-0.00032549762	-0.00036686623	-0.00040688886	-0.00044534486	-0.00048202957	-0.000516749	-0.00054932937	-0.00057960893	-0.00060744842	-0.00063272029	-0.00065532087	-0.00067515847	-0.00069216564	-0.00070628722	-0.00071749258	-0.00072576309	-0.00073110525	-0.00073353642	-0.0007331007	-0.00072985073	-0.00072386787	-0.00071523803	-0.00070407639	-0.00069049726	-0.00067464194	-0.00065664579	-0.00063666743	-0.00061485641	-0.00059138531	-0.00056641271	-0.000540126	-0.00051269845	-0.00048432159	-0.00045521125	-0.00042550128	-0.00039549895	-0.00010492408	-6.0676296e-05	-1.687455e-05	2.624807e-05	6.8419494e-05	0.0001093763	0.00014887668	0.00018666882	0.00022253141	0.00025623367	0.00028757627	0.00031635663	0.00034240343	0.00036554736	0.00038565069	0.00040258224	0.00041624195	0.00042654031	0.00043341799	0.00043683011	0.00043675846	0.00043320297	0.00042618739	0.00041575615	0.00040197174	0.00038492242	0.00036470774	0.00034145827	0.00031530844	0.00028642967	0.00025499326	0.00022120233	0.00018526424	0.00014739595	0.00010783532	6.6805202e-05	2.4572344e-05	-1.8628087e-05	-6.2507004e-05	-0.0001068354
0.5	-0.00015483868	-0.00019819934	-0.00024116073	-0.00028347198	-0.00032489028	-0.00036517746	-0.0004041034	-0.0004414531	-0.00047701162	-0.00051059428	-0.00054201857	-0.0005711338	-0.00059780067	-0.00062190294	-0.00064334682	-0.00066204743	-0.00067795104	-0.00069100106	-0.00070118327	-0.00070847276	-0.00071290697	-0.00071449594	-0.00071333648	-0.00070946574	-0.00070303025	-0.00069408124	-0.0006827997	-0.00066924228	-0.00065361568	-0.00063597614	-0.00061655473	-0.00059540147	-0.00057277402	-0.00054871352	-0.00052350902	-0.00049720377	-0.00047011366	-0.00044230865	-0.00041411188	-0.00038563082	-0.0003567597	-0.00032850356	-0.00030011177	-0.00027221341	-0.00024487458	-0.00021820344	-0.00019237194	-0.00016752984	-0.0001438338	-0.00012143248	-0.00010048642	-8.1137568e-05	-6.3533915e-05	-4.7803504e-05	-3.4072273e-05	-2.2445331e-05	-1.3019296e-05	-5.8695957e-06	-1.0580589e-06	1.3747771e-06	1.4067034e-06	-9.6456703e-07	-5.7192421e-06	-1.2820753e-05	-2.220877e-05	-3.3810593e-05	-4.752981e-05	-6.3262824e-05	-8.0883385e-05	-0.00010026432	-0.00012125759	-0.00014372014	-0.00016749068	-0.00019241895	-0.0002183399	-0.00024509619	-0.00027253165	-0.00030051104	-0.00032882949	-0.00035715974	-0.00015628054	-0.00019963115	-0.00024260489	-0.00028490402	-0.00032627744	-0.00036649053	-0.00040531799	-0.00044254379	-0.00047796706	-0.00051140047	-0.000542675	-0.00057163584	-0.00059814978	-0.00062209865	-0.00064338739	-0.00066193645	-0.00067768995	-0.00069060733	-0.00070067179	-0.00070788065	-0.00071225501	-0.00071382792	-0.00071265695	-0.00070880835	-0.00070237408	-0.00069345	-0.00068215797	-0.00066861761	-0.00065297283	-0.00063535926	-0.00061593457	-0.00059484332	-0.00057225276	-0.00054831099	-0.000523196	-0.00049706346	-0.00047008692	-0.00044243253	-0.00041428807	-0.00038608056	-0.00011123926	-6.7934729e-05	-2.4881637e-05	1.7494226e-05	5.8967725e-05	9.9275757e-05	0.00013818036	0.00017542736	0.00021079553	0.00024405415	0.00027500214	0.00030343608	0.000329183	0.00035207272	0.00037196569	0.00038872997	0.00040226368	0.00041247665	0.0004193077	0.00042271097	0.00042266759	0.00041917709	0.0004122615	0.00040196583	0.00038835269	0.00037151115	0.0003515421	0.00032857741	0.00030275369	0.0002742433	0.00024321927	0.00020988499	0.00017444954	0.00013713043	9.8168503e-05	5.7789458e-05	1.6260777e-05	-2.6183704e-05	-6.9254679e-05	-0.00011266806
0.6	-0.00015707369	-0.00019968518	-0.00024184748	-0.00028331072	-0.00032382967	-0.00036317288	-0.00040110845	-0.00043743051	-0.00047192547	-0.00050441929	-0.00053473175	-0.00056272399	-0.00058825933	-0.00061123482	-0.00063155947	-0.00064916399	-0.0006639995	-0.00067602811	-0.00068524377	-0.00069164221	-0.00069527003	-0.00069615759	-0.00069440839	-0.000690079	-0.00068331884	-0.00067419821	-0.00066289685	-0.00064948973	-0.00063417706	-0.00061703102	-0.00059826947	-0.00057795439	-0.0005563228	-0.00053342271	-0.00050951493	-0.00048464305	-0.00045908763	-0.00043291102	-0.00040639241	-0.00037962455	-0.00035253595	-0.00032593128	-0.00029922443	-0.00027292153	-0.00024709294	-0.00022183853	-0.0001973121	-0.00017365514	-0.00015101806	-0.00012954814	-0.00010940512	-9.0736694e-05	-7.369742e-05	-5.8426068e-05	-4.5059584e-05	-3.3715259e-05	-2.4500798e-05	-1.7501778e-05	-1.2787858e-05	-1.0405228e-05	-1.0378641e-05	-1.2709969e-05	-1.737636e-05	-2.4334851e-05	-3.3516854e-05	-4.4839043e-05	-5.8193835e-05	-7.3465515e-05	-9.0517014e-05	-0.00010921077	-0.00012939194	-0.00015091224	-0.00017361047	-0.00019733804	-0.00022193772	-0.00024726279	-0.00027317013	-0.0002995363	-0.00032618588	-0.00035286145	-0.0001582227	-0.00020082377	-0.00024299097	-0.00028444123	-0.00032492441	-0.00036420639	-0.00040206328	-0.00043828293	-0.00047266831	-0.00050503776	-0.00053522734	-0.00056308955	-0.00058849761	-0.00061134216	-0.00063153619	-0.0006490108	-0.00066372037	-0.00067563714	-0.00068475668	-0.00069109073	-0.00069467394	-0.00069555425	-0.00069380238	-0.00068949845	-0.00068274558	-0.00067365101	-0.00066234446	-0.00064895327	-0.00063362518	-0.00061649903	-0.00059773159	-0.00057746552	-0.00055586158	-0.00053306053	-0.00050922716	-0.00048450337	-0.000459045	-0.00043299877	-0.00040652587	-0.00037997483	-0.00011420523	-7.1537088e-05	-2.9114857e-05	1.268004e-05	5.3615228e-05	9.3426796e-05	0.00013187561	0.00016870847	0.00020370176	0.00023662462	0.00026727368	0.0002954453	0.00032096423	0.0003436601	0.00036339132	0.00038002577	0.00039345982	0.00040360313	0.00041039314	0.00041378374	0.00041375523	0.00041030702	0.00040346084	0.00039326175	0.00037977306	0.00036308397	0.00034329708	0.00032054442	0.00029496512	0.00026673139	0.00023601848	0.00020302992	0.00016797587	0.00013107596	9.2571395e-05	5.2691424e-05	1.1703409e-05	-3.0154609e-05	-7.2596079e-05	-0.00011534617
0.7	-0.00015749743	-0.00019948538	-0.00024098157	-0.00028173708	-0.00032150345	-0.00036005364	-0.00039715361	-0.00043260366	-0.00046619102	-0.00049774915	-0.00052710075	-0.00055411621	-0.0005786634	-0.00060065036	-0.00061999197	-0.0006366318	-0.00065052895	-0.00066166037	-0.00067003047	-0.00067565087	-0.00067857928	-0.00067886161	-0.00067661074	-0.00067189827	-0.00066488036	-0.00065564231	-0.00064436767	-0.00063114581	-0.00061617691	-0.00059954545	-0.00058146373	-0.0005620023	-0.00054138519	-0.00051966388	-0.0004970774	-0.0004736662	-0.00044968042	-0.00042517162	-0.00040037933	-0.00037537852	-0.00035011846	-0.00032524244	-0.00030028348	-0.00027564276	-0.00025138411	-0.00022759455	-0.00020440885	-0.00018195776	-0.00016038461	-0.00013983497	-0.00012046935	-0.00010244242	-8.5918407e-05	-7.1049594e-05	-5.7987961e-05	-4.6867016e-05	-3.7810157e-05	-3.0917e-05	-2.6268549e-05	-2.3918957e-05	-2.3896809e-05	-2.620366e-05	-3.0812401e-05	-3.7671532e-05	-4.6700861e-05	-5.7802711e-05	-7.0853807e-05	-8.5722168e-05	-0.0001022557	-0.00012030324	-0.00013969998	-0.00016029089	-0.00018191379	-0.00020442239	-0.00022766799	-0.00025151636	-0.0002758401	-0.00030053235	-0.00032544829	-0.00035038905	-0.00015841638	-0.00020039495	-0.00024189263	-0.0002826351	-0.00032237289	-0.00036087214	-0.00039790931	-0.00043327458	-0.00046677324	-0.00049822769	-0.00052747835	-0.0005543843	-0.00057882527	-0.00060070057	-0.00061993164	-0.0006364598	-0.00065024957	-0.00066128482	-0.00066957265	-0.00067513771	-0.00067802721	-0.00067830271	-0.00067604776	-0.00067135582	-0.0006643418	-0.00065512466	-0.00064384359	-0.00063063465	-0.00061565155	-0.00059903768	-0.00058095114	-0.00056153398	-0.00054094237	-0.00051931061	-0.00049679186	-0.00047351455	-0.00044961747	-0.00042522759	-0.00040048066	-0.00037565838	-0.00011522957	-7.3092509e-05	-3.1185633e-05	1.0136639e-05	5.0636155e-05	9.0048588e-05	0.00012813243	0.00016463492	0.00019932963	0.00023198553	0.00026239689	0.00029035991	0.00031569724	0.00033823842	0.00035784006	0.00037436995	0.00038772303	0.00039780889	0.00040456391	0.00040794192	0.00040792258	0.00040450539	0.00039771197	0.00038758754	0.0003741961	0.00035762701	0.00033798436	0.00031540023	0.00029001587	0.00026200335	0.00023153991	0.00019882926	0.00016408276	0.00012752182	8.9388083e-05	4.9913936e-05	9.3664383e-06	-3.2012672e-05	-7.3938889e-05	-0.00011614203
0.8	-0.00015680425	-0.00019825226	-0.0002391711	-0.0002793127	-0.00031842582	-0.00035628624	-0.00039265855	-0.00042734712	-0.00046014023	-0.00049087646	-0.00051938125	-0.00054553174	-0.0005692003	-0.00059030372	-0.00060876356	-0.00062453437	-0.00063758464	-0.00064790396	-0.00065550871	-0.0006604236	-0.00066271913	-0.00066245389	-0.00065975235	-0.00065469853	-0.00064745799	-0.00063812837	-0.00062689993	-0.00061387374	-0.00059925314	-0.00058313266	-0.00056572264	-0.00054710098	-0.00052748266	-0.0005069226	-0.00048564156	-0.00046367765	-0.00044125287	-0.00041840898	-0.00039534789	-0.00037212677	-0.00034870599	-0.0003255934	-0.00030240957	-0.00027946627	-0.00025681318	-0.00023451992	-0.00021269963	-0.00019146938	-0.00017096322	-0.00015132372	-0.00013271264	-0.00011529267	-9.9239677e-05	-8.4722017e-05	-7.1910359e-05	-6.0958302e-05	-5.2009105e-05	-4.5180191e-05	-4.0567282e-05	-3.8234801e-05	-3.8216497e-05	-4.0513683e-05	-4.5093734e-05	-5.1894457e-05	-6.0820775e-05	-7.1756973e-05	-8.4559896e-05	-9.9077328e-05	-0.00011513835	-0.00013257555	-0.0001512122	-0.00017088551	-0.00019143209	-0.00021270925	-0.00023457876	-0.00025692131	-0.00027962864	-0.00030261399	-0.00032576401	-0.00034893059	-0.00015754017	-0.00019898017	-0.00023989941	-0.00028002875	-0.00031911906	-0.00035693666	-0.00039325846	-0.00042787639	-0.0004605973	-0.0004912466	-0.00051966791	-0.00054572538	-0.00056930433	-0.0005903115	-0.00060867641	-0.00062435015	-0.00063730734	-0.00064754316	-0.00065507626	-0.00065994346	-0.00066220422	-0.00066193276	-0.00065922495	-0.0006541867	-0.00064694458	-0.00063762884	-0.00062638864	-0.00061336906	-0.0005987309	-0.00058262312	-0.00056520676	-0.00054662471	-0.00052703045	-0.00050655345	-0.00048533706	-0.00046349787	-0.00044115869	-0.00041842765	-0.0003954163	-0.00037234814	-0.00011505164	-7.3375364e-05	-3.1909252e-05	9.0094646e-06	4.9138024e-05	8.8211813e-05	0.00012598662	0.00016220983	0.00019665225	0.00022908269	0.00025929314	0.00028707976	0.00031226325	0.00033467312	0.00035416442	0.00037060489	0.00038388828	0.00039392412	0.00040064799	0.00040401364	0.00040400038	0.00040060771	0.00039385736	0.00038379463	0.0003704842	0.00035401558	0.00033449409	0.00031205193	0.00028683204	0.00025900648	0.00022875418	0.00019627913	0.0001617938	0.00012552122	8.7703445e-05	4.8575646e-05	8.40457e-06	-3.2564831e-05	-7.4049565e-05	-0.00011578152
0.9	-0.00015541335	-0.00019638128	-0.0002367863	-0.00027638017	-0.00031491133	-0.00035215603	-0.00038787944	-0.00042188788	-0.00045397155	-0.00048397219	-0.00051171859	-0.00053709262	-0.00055997122	-0.00058027789	-0.00059794067	-0.00061292303	-0.00062520277	-0.00063478031	-0.00064168394	-0.00064594983	-0.00064766174	-0.0006468892	-0.00064376991	-0.00063839808	-0.00063095157	-0.00062153754	-0.00061035656	-0.00059751821	-0.00058323266	-0.00056760148	-0.00055083662	-0.00053302108	-0.00051436442	-0.00049492388	-0.00047490564	-0.00045434531	-0.00043344083	-0.0004122237	-0.00039086342	-0.0003693991	-0.00034779643	-0.00032644686	-0.00030503632	-0.00028379902	-0.0002627658	-0.00024198415	-0.00022154351	-0.00020154345	-0.00018210626	-0.00016336895	-0.00014549444	-0.00012865286	-0.00011303355	-9.8822707e-05	-8.6213328e-05	-7.5382085e-05	-6.6496322e-05	-5.969442e-05	-5.5090352e-05	-5.2760721e-05	-5.2745996e-05	-5.5047059e-05	-5.962475e-05	-6.6403916e-05	-7.5271518e-05	-8.6090289e-05	-9.8693279e-05	-0.00011290467	-0.00012853135	-0.00014538761	-0.00016328333	-0.00018204826	-0.00020151825	-0.00022155626	-0.00024203678	-0.00026285848	-0.00028393517	-0.00030520417	-0.00032658411	-0.00034797318	-0.00015600648	-0.00019696712	-0.00023737201	-0.00027695531	-0.000315468	-0.00035267661	-0.00038835848	-0.00042230706	-0.00045433068	-0.00048425734	-0.00051193354	-0.00053722766	-0.00056002972	-0.00058025266	-0.00059783293	-0.00061272999	-0.00062492772	-0.00063443164	-0.00064127142	-0.00064549561	-0.0006471757	-0.0006463982	-0.00064327121	-0.00063791262	-0.00063046054	-0.00062105607	-0.00060985828	-0.0005970211	-0.00058271273	-0.00056708798	-0.00055031171	-0.00053252861	-0.000513891	-0.00049452516	-0.00047456663	-0.00045412213	-0.00043330075	-0.00041219302	-0.00039088881	-0.00036956073	-0.00011411494	-7.2848391e-05	-3.1770512e-05	8.7921776e-06	4.8593757e-05	8.7368233e-05	0.00012487029	0.00016084623	0.00019506549	0.00022729575	0.00025732811	0.00028495768	0.00031000446	0.0003322971	0.00035169005	0.00036805039	0.00038127133	0.00039126196	0.00039795745	0.0004013113	0.00040130258	0.00039793083	0.00039121771	0.00038120884	0.00036796917	0.0003515887	0.00033217339	0.00030985603	0.00028478048	0.00025711934	0.00022705263	0.00019478492	0.00016052976	0.0001245113	8.6972563e-05	4.8150262e-05	8.3118705e-06	-3.2295832e-05	-7.3389809e-05	-0.00011470374
1	-0.00015358844	-0.00019411855	-0.00023405553	-0.00027315076	-0.00031115255	-0.00034783713	-0.00038297082	-0.00041636061	-0.00044779962	-0.00047713117	-0.00050418832	-0.00052885586	-0.00055101611	-0.00057059731	-0.0005875344	-0.00060179782	-0.00061337436	-0.00062227351	-0.00062853453	-0.00063220386	-0.00063337716	-0.00063213457	-0.00062862562	-0.0006229553	-0.00061531249	-0.00060581515	-0.00059467289	-0.00058200559	-0.00056802885	-0.00055285345	-0.00053669143	-0.00051963353	-0.00050188245	-0.00048350125	-0.0004646806	-0.00044545827	-0.00042600695	-0.00040635423	-0.00038663632	-0.00036687909	-0.00034704675	-0.00032743316	-0.00030777252	-0.00028823071	-0.00026881519	-0.00024954951	-0.00023049596	-0.00021173381	-0.00019336979	-0.00017553343	-0.00015838634	-0.00014210585	-0.00012689466	-0.0001129589	-0.00010051564	-8.976809e-05	-8.0910393e-05	-7.4105605e-05	-6.9488325e-05	-6.7149829e-05	-6.7138137e-05	-6.9454006e-05	-7.4050466e-05	-8.0837505e-05	-8.9681278e-05	-0.00010041974	-0.00011285896	-0.00012679645	-0.00014201479	-0.00015830819	-0.00017547308	-0.00019333209	-0.00021172248	-0.0002305148	-0.00024959961	-0.00026889615	-0.00028834393	-0.00030790633	-0.00032753598	-0.00034717288	-0.0001540693	-0.00019459434	-0.0002345324	-0.00027361948	-0.00031160681	-0.00034826103	-0.00038336009	-0.0004166986	-0.00044808646	-0.00047735392	-0.0005043504	-0.00052894803	-0.00055104129	-0.00057054856	-0.0005874126	-0.0006016001	-0.00061310314	-0.00062193628	-0.00062813911	-0.00063177076	-0.00063291392	-0.00063166668	-0.00062814885	-0.00062248999	-0.00061483944	-0.00060534902	-0.0005941875	-0.00058151758	-0.00056751474	-0.00055233985	-0.00053616173	-0.00051912767	-0.00050138959	-0.00048307219	-0.00046430486	-0.00044518701	-0.00042581565	-0.00040626729	-0.00038661216	-0.00036697928	-0.00011270279	-7.1810352e-05	-3.1084356e-05	9.1561905e-06	4.8662051e-05	8.7166679e-05	0.00012442249	0.00016017548	0.0001941931	0.00022624269	0.00025611379	0.00028360126	0.0003085238	0.00033070988	0.00035001291	0.0003662998	0.00037946301	0.00038941152	0.00039607997	0.00039942187	0.000399416	0.00039606201	0.00038938159	0.00037942055	0.00036624425	0.00034994294	0.00033062336	0.00030841855	0.0002834735	0.00025596096	0.00022606213	0.00019398193	0.00015993485	0.00012414628	8.685973e-05	4.8314054e-05	8.7765123e-06	-3.1503599e-05	-7.2244201e-05	-0.00011317863
